ID|Tarea|Descripción|Prioridad|COMPETADA
A1|Separar Controller en módulos especializados|Crear InputHandler, GameStateManager, y UIManager.|🟢|SI
A2|Sistema de Configuración Robustecido|Clase GameConfig que valide el JSON y maneje defaults.|🟢|SI
A3|Asset Manager Centralizado|Clase para cargar/descargar sprites, sonidos, etc.|🟡|SI
A4|Velocidad del juego no debe depender de FPS|Actualmente la relentización del tiempo depende de los FPS y no de un Dt|🔴|SI
A5|Textos centralizados|Todos los textos deben ser obtenidos de assets\LAN\ESP\TEXT.json|🔴|SI
A6|Textos del menú principal en LANG|No se debe de mostrar el texto de la máquina de estados correspondiente al manú principal|🟢|SI
A7|Textos del menú pausa en LANG|No se debe de mostrar el texto de la máquina de estados correspondiente al menú pausa|🟢|SI
A8|Todos los fondos e imagenes deben ser cargadas desde ASSET MANAGER|En el controller se están acumulando PHOTOIMAGE... centralizar todo en asset m.|🟡|SI
B1|Implementar State Pattern|Estados del juego (Intro, Menu, Game) como clases.|🟢|SI
B2|Transiciones de Estado Automatizadas|Eventos para cambiar estados (ej: OnStartGame).|🟡|SI
B3|Pantalla de warning|Se debe de mostrar una pantalla de wasrning en donde se indique NSFW.|🟡|SI
C1|Patrón Command para Acciones|Clases como MoveCommand, JumpCommand.|🟢|SI
D1|ECS (Entity-Component-System)|Base para Player, Enemy, Obstacles.|🟢|SI
D2|Sistema de Colisiones Optimizado|Crear un sistema optimizado para detectar coliciones.|🟢|SI
E1|Motor de UI Independiente|Menús/buttons con UIManager.|🟡|SI
F1|GameLogger Centralizado|Loggear inputs, estados, errores.|🟡|SI
S1|Sistema de movimiento movementSystem.py|Centralización de la lógica de movimiento|🟢|SI
G16|Pausar el juego|Que el juego se detenga y se muestre el menú de opciones.|🟢|SI
G17|Pause opción JUGADOR|Mostrar el menú player cuando se pausa la partida.|🟢|SI
G18|Estandar de 8 sprites por entidad|Cada entidad tiene que tener 8 sprites(png)|🔴|SI
G21|Arreglar el sistema de LOGs|El LOGs tiene que ser opcional y configurable... implementado en el juego.|🟢|SI
S2|Todos los textos extraidos desde JSON LAN|Debe de existir un archivo el cual se encargue de contener todos los textos|🔴|SI
S4|Salir del juego habilitado desde el menú principal|Se necesita habilitar que la opción del menú principal EXIT cierre el programa|🔴|SI
T1|Nuevo estado de MOSTRAR TEXTO|Se requere un estado que pause el juego y permita la renderización de un texto|🔴|SI
