ID|Tarea|Descripción|Prioridad|COMPETADA
C2|Keybindings Dinámicos|Permitir reconfigurar controles en tiempo real.|🟡|NO
D3|Mundo Escalable|Carga dinámica de "chunks" o niveles.|🔴|NO
E2|Sistema de Partículas Básico|Efectos visuales para acciones.|🔴|NO
F2|Suite de Pruebas Unitarias|Tests para InputHandler, GameConfig.|🔴|NO
G1|Generador de Jugador Aleatorio|Generar jugadores con padres, sexo, contexto, estadísticas iniciales.|🟢|NO
G2|Calculadora de Edad|Sistema que convierta minutos del juego a años reales.|🟢|NO
G3|Sistema de Etapas de Vida|Infancia, adolescencia, adultez, etc. con límites y condiciones.|🟡|NO
G4|Sistema de Actividades Humanas|Comer, dormir, trabajar, estudiar, etc. con tiempo y energía.|🟢|NO
G5|Estadísticas del Personaje|Salud, energía, autoestima, dinero, fuerza, etc.|🟡|NO
G6|Sistema de Enfermedades|Cargar JSON con enfermedades y condiciones de aparición.|🔴|NO
G7|Sistema de Muerte|Diversas causas, con narrativa de muerte y posible reencarnación.|🔴|NO
G8|Árbol de Decisiones|Lógica para eventos tipo "elige tu camino", con consecuencias.|🟡|NO
G9|Sistema de Relaciones Sociales|Amistades, amor, conflictos con NPCs autónomos.|🟡|NO
G10|Visualizador de Estadísticas|Mostrar gráficamente barra de energía, salud, etc. en UI.|🟢|NO
G11|Gestor de Tiempo Interno|Simular horas, días, años dentro del juego.|🟡|NO
G12|Sistema de Guardado y Carga|Guardar el estado del jugador y continuar partidas.|🟢|NO
G13|Renderizador de Libro Interactivo|Sistema gráfico tipo “libro” que muestra texto e imágenes con scroll.|🟡|NO
G14|Manejador de Pérdida de Sentidos|Sistema para ceguera, sordera, etc., y cómo afecta las decisiones.|🔴|NO
G15|Gestor de Puzzles y Sueños|Eventos especiales o acertijos que suceden en sueños.|🔴|NO
G19|Un estado de animacion independiente y renderizable para las entidades|Todas las entidades deben poder asociarse a maquina de estados que permita saber como animar (STOP, WALK_R) ... Crear maquina de estados y un sistema|🔴|NO
G20|El assetManager se tiene que encargar de la logica para almacenar sprites|Mover toda la lógica del controlador al assetManager para el cargado de sprites|🔴|NO
P1|Cuerpo del Jugador aplicable a otras futuras entidades|El jugador debe de poseer un cuerpo de momento con cerebro, corazón, pulmones.|🔴|NO
P2|El jugador puede estar en 3 mododos VIVO, MUERTO, DORMIDO|El jugador debe tener varios estados de momento son: ALIVE, DEATH, SLEEP|🔴|NO
M1|Mostrar teclas para ENTRAR/SALIR de los menús|Cuando se encuentre navegando por un menú se debe de mostrar icons y textos de botones para entrar y salir|🟡|NO
O1|Nuevo estado de mostrar OPCIONES DE MENÚ PRINCIPAL|Se requiere un estado que sirva de interfaz de configuración.|🔴|NO 
S2|Archivo de Guardado de Juego|Se debe de crear un sistema de SAVE/LOAD|🔴|NO
S3|Continuar partida dependerá si hay archivo de guardado|Solo se debe de mostrar la opción de guardar partida si hay archivo de guardado valido|🔴|NO
